No.,Player,Position,Debut,Raw-Birth-Data,BirthPlace,County,Province,Country
444,Frank Hewitt,FH,"v Wales Cardiff, 8 Mar 1924","Born
October 3, 1906, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
445,Tom Hewitt,W,"v Wales Cardiff, 8 Mar 1924","Born
March 12, 1905, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
446,Norman Brand,Fwd,"v New Zealand Lansdowne Road, 1 Nov 1924","Born
January 5, 1899, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
447,Alex Spain,L,"v New Zealand Lansdowne Road, 1 Nov 1924","Born
September 22, 1897, Cashel
   ",Cashel,Tipperary,Munster,Republic of Ireland
448,Mark Sugden,SH,"v France Colombes, 1 Jan 1925","Born
February 11, 1902, Leek, Staffordshire, England
   ",Leek,Unkown,Unknown,England
449,George Beamish,N8,"v England Twickenham, 14 Feb 1925","Born
April 29, 1905, Dunmanway, Munster
   ",Dunmanway,Cork,Munster,Republic of Ireland
450,William Browne,H,"v England Twickenham, 14 Feb 1925","Born
January 29, 1903, Longford
   ",Longford,Longford,Leinster,Republic of Ireland
451,Standish Cagney,L,"v Wales Belfast, 14 Mar 1925","Born
June 29, 1900, Harrow-on-the-Hill, London, England
   ",London,Unkown,Unknown,England
452,Eugene Davy,FH,"v Wales Belfast, 14 Mar 1925","Born
July 26, 1904, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
453,Robert Flood,N8,"v Wales Belfast, 14 Mar 1925","Born
circa 1903, ?
   ",Unknown,Unkown,Unknown,Unknown
454,Terence Millin,C,"v Wales Belfast, 14 Mar 1925","Born
January 9, 1903, Co Down, Northern Ireland
   ",Unknown,Down,Ulster,Northern Ireland
455,Jimmy Farrell,F,"v France Belfast, 23 Jan 1926","Born
August 7, 1903, Meath
   ",Unknown,Meath,Leinster,Republic of Ireland
456,Rex Hamilton,W,"v France Belfast, 23 Jan 1926","Born
April 30, 1898, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
457,Joseph Neill,F,"v France Belfast, 23 Jan 1926","Born
June 10, 1905, ?
   ",Unknown,Unkown,Unknown,Unknown
458,Allan Buchanan,P,"v England Lansdowne Road, 13 Feb 1926","Born
May 21, 1904
   ",Unknown,Unkown,Unknown,Unknown
459,Charles Payne,H,"v England Lansdowne Road, 13 Feb 1926","Born
August 18, 1905, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
460,Jack Gage,W,"v Scotland Murrayfield, 27 Feb 1926","Born
April 2, 1907, Worcester, England
   ",Worcester,Unkown,Unknown,England
461,Charles Hanrahan,N8,"v Scotland Murrayfield, 27 Feb 1926","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
462,Maurice Atkinson,C,"v France Colombes, 1 Jan 1927","Born
March 17, 1906, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
463,Jim Ganly,W,"v France Colombes, 1 Jan 1927","Born
March 7, 1904, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
464,Paul Murray,SH,"v France Colombes, 1 Jan 1927","Born
June 29, 1905, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
465,Norman Ross,N8,"v France Colombes, 1 Jan 1927","Born
July 15, 1903, Clough, Ballymena
   ",Clough,Down,Ulster,Northern Ireland
466,Hugh McVicker,L,"v England Twickenham, 12 Feb 1927","Born
February 9, 1901, Ballymoney, Northern Ireland
   ",Ballymoney,Antrim,Ulster,Northern Ireland
467,Theodore Pike,P,"v England Twickenham, 12 Feb 1927","Born
August 2, 1904, Thurles
   ",Thurles,Tipperary,Munster,Republic of Ireland
468,Joxer Arigho,W,"v France Belfast, 28 Jan 1928","Born
July 10, 1907, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
469,Thomas Bramwell,H,"v France Belfast, 28 Jan 1928","Born
January 15, 1901, Larne, Antrim
   ",Larne,Antrim,Ulster,Northern Ireland
470,Reginald Odbert,C,"v France Belfast, 28 Jan 1928","Born
February 9, 1904, Monkstown
   ",Monkstown,Antrim,Ulster,Northern Ireland
471,Rowland Byers,W,"v Scotland Murrayfield, 25 Feb 1928","Born
June 18, 1905, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
472,Jerry Mullane,F,"v Wales Cardiff, 10 Mar 1928","Born
(guess: regd Q2), Newcastle West
   ",Newcastle West,Limerick,Munster,Republic of Ireland
473,Mike Dunne,L,"v France Colombes, 31 Dec 1928","Born
July 14, 1906, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
474,Hugh Browne,H,"v England Twickenham, 9 Feb 1929","Born
November 28, 1905, St Giles, London, England
   ",London,Unkown,Unknown,England
475,John Synge,F,"v Scotland Lansdowne Road, 23 Feb 1929","Born
July 12, 1906, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
476,Morgan Crowe,C,"v Wales Belfast, 9 Mar 1929","Born
March 5, 1907, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
477,Mark Deering,L,"v Wales Belfast, 9 Mar 1929","Born
March 6, 1900, Dunlavin, Co Wicklow
   ",Dunlavin,Wicklow,Leinster,Republic of Ireland
478,Claude Carroll,L,"v France Belfast, 25 Jan 1930","Born
April 14, 1908, Thurles
   ",Thurles,Tipperary,Munster,Republic of Ireland
479,Ted Hunt,FB,"v France Belfast, 25 Jan 1930","Born
December 12, 1908, Dorset, England
   ",Dorset,Unkown,Unknown,England
480,William McCormick,N8,"v England Lansdowne Road, 8 Feb 1930","Born
December 18, 1905, Kilrea, Co Derry
   ",Kilrea,Derry,Ulster,Northern Ireland
481,Noel Murphy,F,"v England Lansdowne Road, 8 Feb 1930","Born
February 22, 1937, Cork
   ",Cork,Cork,Munster,Republic of Ireland
483,Frederick Williamson,FB,"v England Lansdowne Road, 8 Feb 1930","Born
January 25, 1905, Wexford
   ",Wexford,Wexford,Leinster,Republic of Ireland
484,Ter Casey,H,"v Scotland Murrayfield, 22 Feb 1930","Born
July 1902, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
485,Major Egan,FB,"v France Colombes, 1 Jan 1931","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
486,Edward Lightfoot,W,"v France Colombes, 1 Jan 1931","Born
November 29, 1907, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
487,Jack Russell,L,"v France Colombes, 1 Jan 1931","Born
June 30, 1909, Queenstown Cobh
   ",Cobh,Cork,Munster,Republic of Ireland
488,Jack Siggins,N8,"v France Colombes, 1 Jan 1931","Born
June 28, 1909, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
489,Hal Withers,N8,"v France Colombes, 1 Jan 1931","Born
October 11, 1904, ?
   ",Unknown,Unkown,Unknown,Unknown
490,Laurence McMahon,C,"v England Twickenham, 14 Feb 1931","Born
December 4, 1911, Wandsworth, London
   ",Unknown,Unkown,Unknown,Unknown
491,Victor Pike,H,"v England Twickenham, 14 Feb 1931","Born
July 1, 1907, Thurles
   ",Thurles,Tipperary,Munster,Republic of Ireland
492,John Entrican,FB,"v Scotland Lansdowne Road, 28 Feb 1931","Born
September 24, 1908, Cookstown
   ",Cookstown,Tyrone,Ulster,Northern Ireland
493,Dermot Morris,FB,"v Wales Belfast, 14 Mar 1931","Born
January 31, 1908, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
494,William Ross,F,"v England Lansdowne Road, 13 Feb 1932","Born
July 24, 1909, ?
   ",Unknown,Unkown,Unknown,Unknown
495,Michael Sheehan,SH,"v England Lansdowne Road, 13 Feb 1932","Born
circa 1909, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
496,Shaun Waide,W,"v England Lansdowne Road, 13 Feb 1932","Born
August 8, 1912, ?
   ",Unknown,Unkown,Unknown,Unknown
497,Ernest Ridgeway,FB,"v Scotland Murrayfield, 27 Feb 1932","Born
September 16, 1911, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
498,Robin Pratt,FB,"v England Twickenham, 11 Feb 1933","Born
December 24, 1911, Enniskillen, Fermanagh
   ",Enniskillen,Fermanagh,Ulster,Northern Ireland
499,Bobby Barnes,C,"v Wales Belfast, 11 Mar 1933","Born
March 25, 1911, Armagh, Northern Ireland
   ",Armagh,Armagh,Ulster,Northern Ireland
500,Charles Beamish,P,"v Wales Belfast, 11 Mar 1933","Born
June 23, 1908, Cork
   ",Cork,Cork,Munster,Republic of Ireland
501,Paddy Coote,C,"v Scotland Lansdowne Road, 1 Apr 1933","Born
January 7, 1910, Eton, England
   ",Eton,Unkown,Unknown,England
502,Joseph O'Connor,W,"v Scotland Lansdowne Road, 1 Apr 1933","Born
October 27, 1911, Castleisland
   ",Castleisland,Kerry,Munster,Republic of Ireland
503,Mebs Bardon,F,"v England Lansdowne Road, 10 Feb 1934","Born
August 4, 1907, Greystones, Wicklow
   ",Wicklow,Wicklow,Leinster,Republic of Ireland
504,Bob Graves,H,"v England Lansdowne Road, 10 Feb 1934","Born
January 23, 1909, Valentia, Co Kerry
   ",Valentia,Kerry,Munster,Republic of Ireland
505,George Morgan,SH,"v England Lansdowne Road, 10 Feb 1934","Born
March 24, 1912, Clontarf, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
506,James Rearden,C,"v England Lansdowne Road, 10 Feb 1934","Born
1910, Cork
   ",Cork,Cork,Munster,Republic of Ireland
507,Sam Walker,P,"v England Lansdowne Road, 10 Feb 1934","Born
April 21, 1912, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
508,Ham Lambert,C,"v Scotland Murrayfield, 24 Feb 1934","Born
June 5, 1910, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
509,David Lane,W,"v Scotland Murrayfield, 24 Feb 1934","Born
September 30, 1913, Cork
   ",Cork,Cork,Munster,Republic of Ireland
510,John Reid,FH,"v Scotland Murrayfield, 24 Feb 1934","Born
April 16, 1909, Bandon, Co Cork
   ",Bandon,Cork,Munster,Republic of Ireland
511,Aidan Bailey,C,"v Wales Swansea, 10 Mar 1934","Born
January 1, 1916, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
512,Daniel Langan,FB,"v Wales Swansea, 10 Mar 1934","Born
March 19, 1910, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
513,Noel McGrath,P,"v Wales Swansea, 10 Mar 1934","Born
February 6, 1909, Wakefield, England
   ",Wakefield,Unkown,Unknown,England
514,John Megaw,N8,"v Wales Swansea, 10 Mar 1934","Born
September 16, 1909, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
515,Philip Crowe,C,"v England Twickenham, 9 Feb 1935","Born
August 24, 1910, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
516,Seamus Deering,L,"v England Twickenham, 9 Feb 1935","Born
November 18, 1906, Dunlavin, Co Wicklow
   ",Dunlavin,Wicklow,Leinster,Republic of Ireland
517,Patrick Lawlor,F,"v England Twickenham, 9 Feb 1935","Born
March 21, 1928, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
518,Mike Sayers,F,"v England Twickenham, 9 Feb 1935","Born
May 1, 1911, Madras, India
   ",Madras,Unkown,Unknown,India
519,Victor Hewitt,FH,"v Scotland Lansdowne Road, 23 Feb 1935","Born
March 23, 1913, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
520,Jack Doyle,W,"v Wales Belfast, 9 Mar 1935","Born
May 29, 1915, ?
   ",Unknown,Unkown,Unknown,Unknown
521,Vesey Boyle,W,"v New Zealand Lansdowne Road, 7 Dec 1935","Born
July 2, 1915, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
522,Thomas Dunn,P,"v New Zealand Lansdowne Road, 7 Dec 1935","Born
July 1, 1913, ?
   ",Unknown,Unkown,Unknown,Unknown
523,George Malcolmson,C,"v New Zealand Lansdowne Road, 7 Dec 1935","Born
May 2, 1910, Lurgan, Northern Ireland
   ",Lurgan,Armagh,Ulster,Northern Ireland
524,Clive Wallis,P,"v New Zealand Lansdowne Road, 7 Dec 1935","Born
October 16, 1913, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
525,Bob Alexander,F,"v England Lansdowne Road, 8 Feb 1936","Born
September 24, 1910, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
526,Fred Moran,W,"v England Lansdowne Road, 8 Feb 1936","Born
circa 1913, ?
   ",Unknown,Unkown,Unknown,Unknown
527,Thomas Corken,H,"v England Twickenham, 13 Feb 1937","Born
September 15, 1910, Lisburn, Northern Ireland
   ",Lisburn,Antrim,Ulster,Northern Ireland
528,George Cromey,FH,"v England Twickenham, 13 Feb 1937","Born
May 8, 1913, Ahogil, Ballymena, Northern Ireland
   ",Ballymena,Antrim,Ulster,Northern Ireland
529,Blair Mayne,L,"v Wales Belfast, 3 Apr 1937","Born
January 11, 1915, Newtownards, Northern Ireland
   ",Newtownards,Down,Ulster,Northern Ireland
530,Charles Reidy,P,"v Wales Belfast, 3 Apr 1937","Born
July 8, 1912, St George's Square,
   ",Unknown,Unkown,Unknown,Unknown
531,Ted Ryan,P,"v Wales Belfast, 3 Apr 1937","Born
July 14, 1912, Scariff, Clare
   ",Scariff,Clare,Munster,Republic of Ireland
532,Maurice Daly,W,"v England Lansdowne Road, 12 Feb 1938","Born
August 1914, ?
   ",Unknown,Unkown,Unknown,Unknown
533,John Irwin,N8,"v England Lansdowne Road, 12 Feb 1938","Born
August 3, 1913, Ulster, Northern Ireland
   ",Unknown,Unkown,Unknown,Ireland
534,Victor Lyttle,W,"v England Lansdowne Road, 12 Feb 1938","Born
July 17, 1911, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
535,David O'Loughlin,P,"v England Lansdowne Road, 12 Feb 1938","Born
July 13, 1916, Glenbeigh
   ",Glenbeigh,Kerry,Munster,Republic of Ireland
536,Ronald Craig,FB,"v Scotland Murrayfield, 26 Feb 1938","Born
April 14, 1916, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
537,Hector Kennedy,P,"v Scotland Murrayfield, 26 Feb 1938","Born
July 1, 1917, ?
   ",Unknown,Unkown,Unknown,Unknown
538,Donough Tierney,L,"v Scotland Murrayfield, 26 Feb 1938","Born
November 6, 1914, ?
   ",Unknown,Unkown,Unknown,Unknown
539,Harry McKibbin,C,"v Wales Swansea, 12 Mar 1938","Born
July 13, 1915, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
540,Desmond Torrens,C,"v Wales Swansea, 12 Mar 1938","Born
March 10, 1915, ?
   ",Unknown,Unkown,Unknown,Unknown
541,Con Murphy,FB,"v England Twickenham, 11 Feb 1939","Born
September 19, 1914, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
542,James Ryan,P,"v England Twickenham, 11 Feb 1939","Born
July 24, 1996, Blackrock, Dublin
   ",Blackrock,Dublin,Leinster,Republic of Ireland
543,Charles Teehan,P,"v England Twickenham, 11 Feb 1939","Born
May 6, 1919, Buttevant, Co Cork
   ",Buttevant,Cork,Munster,Republic of Ireland
544,Thomas Headon,P,"v Scotland Lansdowne Road, 25 Feb 1939","Born
June 21, 1918, Ballyporeen
   ",Ballyporeen,Tipperary,Munster,Republic of Ireland
545,Robert Agar,N8,"v France Lansdowne Road, 25 Jan 1947","Born
March 29, 1920, Fenagh, Co Carlow
   ",Carlow,Carlow,Leinster,Republic of Ireland
546,Colm Callan,L,"v France Lansdowne Road, 25 Jan 1947","Born
January 6, 1923, Port, Co Louth
   ",Louth,Louth,Leinster,Republic of Ireland
547,Ray Carroll,SH,"v France Lansdowne Road, 25 Jan 1947","Born
February 9, 1926, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
548,John Daly,P,"v France Lansdowne Road, 25 Jan 1947","Born
December 12, 1917, Cobh, Queenstown
   ",Cobh,Cork,Munster,Republic of Ireland
549,John Harper,C,"v France Lansdowne Road, 25 Jan 1947","Born
August 15, 1921, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
550,Donal Hingerty,F,"v France Lansdowne Road, 25 Jan 1947","Born
January 11, 1920, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
551,Ernie Keeffe,L,"v France Lansdowne Road, 25 Jan 1947","Born
March 16, 1919, Cork
   ",Cork,Cork,Munster,Republic of Ireland
552,Jackie Kyle,FH,"v France Lansdowne Road, 25 Jan 1947","Born
February 10, 1926, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
553,Bill McKay,F,"v France Lansdowne Road, 25 Jan 1947","Born
July 12, 1921, Waterford
   ",Waterford,Waterford,Munster,Republic of Ireland
554,Barney Mullan,W,"v France Lansdowne Road, 25 Jan 1947","Born
date unknown, ?
   ",Unknown,Unkown,Unknown,Unknown
555,Karl Mullen,H,"v France Lansdowne Road, 25 Jan 1947","Born
November 26, 1926, Courtown Harbour, Wexford
   ",Courtown,Wexford,Leinster,Republic of Ireland
556,Matthew Neely,P,"v France Lansdowne Road, 25 Jan 1947","Born
December 24, 1919, Craigs, Ballymena, Northern Ireland
   ",Ballymena,Antrim,Ulster,Northern Ireland
557,Brendan Quinn,W,"v France Lansdowne Road, 25 Jan 1947","Born
August 1, 1919, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
558,Kevin Quinn,C,"v France Lansdowne Road, 25 Jan 1947","Born
March 14, 1923, Gort, Co Galway
   ",Gort,Galway,Connaught,Republic of Ireland
559,Jack Monteith,C,"v England Lansdowne Road, 8 Feb 1947","Born
August 24, 1922, Ballymoney, Northern Ireland
   ",Ballymoney,Antrim,Ulster,Northern Ireland
560,Bertie O'Hanlon,W,"v England Lansdowne Road, 8 Feb 1947","Born
October 23, 1924, Cork
   ",Cork,Cork,Munster,Republic of Ireland
561,Ernest Strathdee,SH,"v England Lansdowne Road, 8 Feb 1947","Born
May 26, 1921, ?
   ",Unknown,Unkown,Unknown,Unknown
562,Dudley Higgins,FB,"v Scotland Murrayfield, 22 Feb 1947","Born
May 20, 1920, Rathdrum, Wicklow
   ",Rathdrum,Wicklow,Leinster,Republic of Ireland
563,Mick Lane,C,"v Wales Swansea, 29 Mar 1947","Born
April 3, 1926, Cork
   ",Cork,Cork,Munster,Republic of Ireland
564,Jimmy Corcoran,P,"v Australia Lansdowne Road, 6 Dec 1947","Born
July 14, 1922, Cork
   ",Cork,Cork,Munster,Republic of Ireland
565,Albert McConnell,P,"v Australia Lansdowne Road, 6 Dec 1947","Born
October 29, 1919, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
566,Desmond McCourt,N8,"v Australia Lansdowne Road, 6 Dec 1947","Born
December 13, 1923, Portadown, Northern Ireland
   ",Portadown,Down,Ulster,Northern Ireland
567,William McKee,W,"v Australia Lansdowne Road, 6 Dec 1947","Born
August 27, 1923, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
568,Jimmy Nelson,L,"v Australia Lansdowne Road, 6 Dec 1947","Born
September 16, 1921, Belfast
   ",Belfast,Antrim,Ulster,Northern Ireland
569,Kevin O'Flanagan,W,"v Australia Lansdowne Road, 6 Dec 1947","Born
June 10, 1919, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
570,Paddy Reid,C,"v Australia Lansdowne Road, 6 Dec 1947","Born
March 17, 1924, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
571,Richard Wilkinson,L,"v Australia Lansdowne Road, 6 Dec 1947","Born
March 24, 1915, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
572,Jim McCarthy,F,"v France Colombes, 1 Jan 1948","Born
June 30, 1924, Cork
   ",Cork,Cork,Munster,Republic of Ireland
573,Hugh de Lacy,SH,"v England Twickenham, 14 Feb 1948","Born
November 20, 1919, ?
   ",Unknown,Unkown,Unknown,Unknown
574,John Mattsson,FB,"v England Twickenham, 14 Feb 1948","Born
July 16, 1917, Bandon, Cork
   ",Bandon,Cork,Munster,Republic of Ireland
575,Des O'Brien,N8,"v England Twickenham, 14 Feb 1948","Born
May 22, 1919, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
576,Mick O'Flanagan,C,"v Scotland Lansdowne Road, 28 Feb 1948","Born
September 29, 1922, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
577,Tom Clifford,P,"v France Lansdowne Road, 29 Jan 1949","Born
November 15, 1923, Tipperary
   ",Tipperary,Tipperary,Munster,Republic of Ireland
578,Thomas Cullen,SH,"v France Lansdowne Road, 29 Jan 1949","Born
September 5, 1926, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
579,Tom Gavin,C,"v France Lansdowne Road, 29 Jan 1949","Born
March 28, 1922, Coventry, England
   ",Coventry,Unkown,Unknown,England
580,George Norton,FB,"v France Lansdowne Road, 29 Jan 1949","Born
April 1, 1920, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
581,Leslie Griffin,P,"v Scotland Murrayfield, 26 Feb 1949","Born
September 14, 1922, Arklow
   ",Arklow,Wicklow,Leinster,Republic of Ireland
582,Noel Henderson,C,"v Scotland Murrayfield, 26 Feb 1949","Born
August 10, 1928, Drumahoe, Co Derry, Northern Ireland
   ",Drumahoe,Derry,Ulster,Northern Ireland
583,John Burgess,SH,"v France Colombes, 28 Jan 1950","Born
October 26, 1928, Tipperary
   ",Tipperary,Tipperary,Munster,Republic of Ireland
584,Arthur Curtis,F,"v France Colombes, 28 Jan 1950","Born
March 27, 1924, Shanghai, China
   ",Shanghai,Unkown,Unknown,China
585,Des McKibbin,P,"v France Colombes, 28 Jan 1950","Born
March 6, 1927, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
586,Louis Crowe,W,"v England Twickenham, 11 Feb 1950","Born
March 30, 1928, Cahir, Tipperary
   ",Cahir,Tipperary,Munster,Republic of Ireland
587,George Phipps,C,"v England Twickenham, 11 Feb 1950","Born
November 2, 1927, Peshawar
   ",Unknown,Unkown,Unknown,Unknown
588,John Blayney,C,"v Scotland Lansdowne Road, 25 Feb 1950","Born
March 13, 1925, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
589,Jack Molony,L,"v Scotland Lansdowne Road, 25 Feb 1950","Born
October 21, 1924, Thurles
   ",Thurles,Tipperary,Munster,Republic of Ireland
590,Hex Uprichard,C,"v Scotland Lansdowne Road, 25 Feb 1950","Born
December 31, 1922, Portadown, Northern Ireland
   ",Portadown,Down,Ulster,Northern Ireland
591,Richard Chambers,C,"v France Lansdowne Road, 27 Jan 1951","Born
August 15, 1927, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
592,Cornelius Griffin,W,"v France Lansdowne Road, 27 Jan 1951","Born
October 31, 1923, Pancras, London, England
   ",London,Unkown,Unknown,England
593,John O'Meara,SH,"v France Lansdowne Road, 27 Jan 1951","Born
June 26, 1929, Cork
   ",Cork,Cork,Munster,Republic of Ireland
594,John Smith,P,"v France Lansdowne Road, 27 Jan 1951","Born
July 27, 1926, Dungannon, Northern Ireland
   ",Dungannon,Tyrone,Ulster,Northern Ireland
595,Harry Millar,W,"v England Lansdowne Road, 10 Feb 1951","Born
January 9, 1924, Bangor, Co Down, Northern Ireland
   ",Bangor,Down,Ulster,Northern Ireland
596,James Brady,L,"v Scotland Murrayfield, 24 Feb 1951","Born
February 11, 1931, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
597,Patrick Lawlor,L,"v Scotland Murrayfield, 24 Feb 1951","Born
March 21, 1928, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
598,Angus McMorrow,FB,"v Wales Cardiff, 10 Mar 1951","Born
November 6, 1927, Sligo
   ",Sligo,Sligo,Connaught,Republic of Ireland
599,Antony Browne,C,"v South Africa Lansdowne Road, 8 Dec 1951","Born
circa 1930, ?
   ",Unknown,Unkown,Unknown,Unknown
600,Gerry Murphy,FB,"v South Africa Lansdowne Road, 8 Dec 1951","Born
August 20, 1926, Bangor, Co Down, Northern Ireland
   ",Bangor,Down,Ulster,Northern Ireland
601,Robin Thompson,L,"v South Africa Lansdowne Road, 8 Dec 1951","Born
May 5, 1931, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
602,John Notley,FB,"v France Colombes, 26 Jan 1952","Born
June 25, 1926, Drumsna, Co Roscom'n
   ",Drumsna,Leitrim,Connaught,Republic of Ireland
603,Mick Dargan,F,"v Scotland Lansdowne Road, 23 Feb 1952","Born
October 9, 1928, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
604,Archie O'Leary,L,"v Scotland Lansdowne Road, 23 Feb 1952","Born
November 30, 1929, Cork
   ",Cork,Cork,Munster,Republic of Ireland
605,Niall Bailey,W,"v England Twickenham, 29 Mar 1952","Born
March 20, 1929, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
606,Michael Hillary,W,"v England Twickenham, 29 Mar 1952","Born
June 6, 1925, British Malaya
   ",British Malaya,Unkown,Unknown,Unknown
607,Patrick Kavanagh,F,"v England Twickenham, 29 Mar 1952","Born
September 2, 1929, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
608,William O'Neill,P,"v England Twickenham, 29 Mar 1952","Born
November 15, 1928, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
609,Robin Roe,H,"v England Twickenham, 29 Mar 1952","Born
November 11, 1928, Skierke, Ballybrophy, Laois
   ",Ballybrophy,Laois,Leinster,Republic of Ireland
610,Fuzzy Anderson,P,"v France Belfast, 24 Jan 1953","Born
August 29, 1929, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
611,Ewart Bell,F,"v France Belfast, 24 Jan 1953","Born
November 13, 1924, Belfast, Northern Ireland
   ",Belfast,Antrim,Ulster,Northern Ireland
612,Robin Gregg,FB,"v France Belfast, 24 Jan 1953","Born
November 28, 1930, Carnlough, Ballymena, Northern Ireland
   ",Carnlough,Antrim,Ulster,Northern Ireland
613,James Kavanagh,N8,"v France Belfast, 24 Jan 1953","Born
January 21, 1931, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
614,Maurice Mortell,W,"v France Belfast, 24 Jan 1953","Born
March 13, 1930, Bandon, Co Cork
   ",Bandon,Cork,Munster,Republic of Ireland
615,Tom Reid,L,"v England Lansdowne Road, 14 Feb 1953","Born
March 3, 1926, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
616,Seamus Byrne,W,"v Scotland Murrayfield, 28 Feb 1953","Born
June 7, 1931, Dublin
   ",Dublin,Dublin,Leinster,Republic of Ireland
617,Cecil Pedlow,C,"v Wales Swansea, 14 Mar 1953","Born
January 20, 1934, Lurgan, Northern Ireland
   ",Lurgan,Armagh,Ulster,Northern Ireland
618,Gerard Reidy,F,"v Wales Swansea, 14 Mar 1953","Born
May 13, 1926, Cork
   ",Cork,Cork,Munster,Republic of Ireland
619,Joseph Gaston,W,"v New Zealand Lansdowne Road, 9 Jan 1954","Born
November 28, 1930, Cloughmills, Ballymena, Northern Ireland
   ",Cloughmills,Antrim,Ulster,Northern Ireland
620,John Hewitt,FH,"v England Twickenham, 13 Feb 1954","Born
November 21, 1960, Carrickfergus, Northern Ireland
   ",Carrickfergus,Antrim,Ulster,Northern Ireland
621,James Murphy-O'Connor,N8,"v England Twickenham, 13 Feb 1954","Born
June 6, 1925, Reading, England
   ",Reading,Unkown,Unknown,England
622,Gordon Wood,P,"v England Twickenham, 13 Feb 1954","Born
June 20, 1931, Limerick
   ",Limerick,Limerick,Munster,Republic of Ireland
623,Robin Godfrey,C,"v Scotland Belfast, 27 Feb 1954","Born
September 16, 1931, Tilbury, Essex, England
   ",Tilbury,Unkown,Unknown,England
624,Seamus Kelly,FH,"v Scotland Belfast, 27 Feb 1954","Born
March 15, 1931, Wexford
   ",Wexford,Wexford,Leinster,Republic of Ireland
